[22:32:57] [INIT] KubeJS 2001.6.5-build.16; MC 2001 forge
[22:33:02] [WARN] Failed to parse recipe 'arphex:vital_helmet_upgrade[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[22:33:02] [WARN] Failed to parse recipe 'dixtas_armory:electrum_throwing_knife_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:02] [WARN] Failed to parse recipe 'dixtas_armory:adamantite_halberd_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:02] [WARN] Failed to parse recipe 'arphex:spacetime_chestplate[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[22:33:02] [WARN] Failed to parse recipe 'dixtas_armory:adamantite_chakram_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:02] [WARN] Failed to parse recipe 'arphex:umbral_legs[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[22:33:02] [WARN] Failed to parse recipe 'dixtas_armory:adamantite_javelin_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:02] [WARN] Failed to parse recipe 'arphex:jugger_leg[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[22:33:02] [WARN] Failed to parse recipe 'dixtas_armory:silver_glaive[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:02] [INFO] Found 7338 recipes in 281.6 ms
[22:33:02] [INFO] Posted recipe events in 183.4 ms
[22:33:02] [WARN] Error parsing recipe alexsdelight:barbecue_on_a_stick[minecraft:crafting_shapeless]: {"group":"barbecue_stick","type":"minecraft:crafting_shapeless","ingredients":[{"item":"farmersdelight:tomato"},{"item":"farmersdelight:onion"},{"item":"amfd:singular_cooked_moose_rib"},{"item":"minecraft:cooked_chicken"},{"item":"minecraft:stick"},{"item":"minecraft:stick"}],"result":{"item":"farmersdelight:barbecue_stick","count":2}}: Unknown item 'amfd:singular_cooked_moose_rib'
[22:33:02] [INFO] Added 9 recipes, removed 18 recipes, modified 0 recipes, with 1 failed recipes in 119.4 ms
[22:33:19] [INFO] Server resource reload complete!
